This file is created using RaceChrono v4.3.6 ( http://www.racechrono.com/ ).

Session title,"Zandvoort"
Session type,Lap timing
Track name,"Zandvoort"
Driver name,
Export scope,Fragment 2
Created,27/06/2013,07:31
Note,

Lap #,Timestamp (s),Distance (m),Distance (km),Locked satellites,Latitude (deg),Longitude (deg),Speed (m/s),Speed (kph),Speed (mph),Altitude (m),Bearing (deg),Longitudinal Acceleration (G),Lateral Acceleration (G),X-position (m),Y-position (m),RPM (rpm),Throttle Position (%),Trap name
N/A,43718.400,3946.112,3.946112,8,52.3873733,4.5397667,43.06,155.03,96.33,-0.50,24.12,0.08,0.09,-0.00,-0.00,,,
N/A,43718.600,3954.819,3.954819,8,52.3874450,4.5398183,43.23,155.62,96.70,-0.50,24.23,0.08,-0.04,3.51,7.97,,,
N/A,43718.800,3963.571,3.963571,8,52.3875167,4.5398717,43.52,156.66,97.34,-0.60,23.86,0.15,0.14,7.13,15.94,,,
N/A,43719.000,3972.323,3.972323,9,52.3875883,4.5399250,43.85,157.86,98.09,-0.60,23.60,0.17,0.10,10.75,23.91,,,
N/A,43719.200,3981.415,3.981415,9,52.3876633,4.5399783,44.23,159.22,98.93,-0.60,23.40,0.19,0.08,14.36,32.25,,,
36,43719.318,3986.652,3.986652,9,52.3877067,4.5400088,44.23,159.22,98.93,-0.66,23.26,0.08,0.06,16.43,37.06,,,Start/Finish
36,43719.400,3990.291,3.990291,9,52.3877367,4.5400300,44.23,159.22,98.93,-0.70,23.26,0.00,0.06,17.87,40.40,,,
36,43719.600,3999.212,3.999212,8,52.3878100,4.5400833,44.57,160.44,99.69,-0.70,22.87,0.17,0.15,21.49,48.56,,,
36,43719.800,4008.259,4.008259,8,52.3878850,4.5401350,44.77,161.18,100.15,-0.70,22.68,0.11,0.08,25.00,56.89,,,
36,43720.000,4017.306,4.017306,8,52.3879600,4.5401867,45.05,162.18,100.77,-0.70,22.48,0.14,0.08,28.50,65.23,,,
36,43720.200,4026.524,4.026524,9,52.3880367,4.5402383,45.22,162.79,101.15,-0.70,22.32,0.09,0.06,32.01,73.76,,,
36,43720.400,4035.741,4.035741,9,52.3881133,4.5402900,45.58,164.07,101.95,-0.70,22.07,0.18,0.10,35.52,82.28,,,
36,43720.600,4044.959,4.044959,8,52.3881900,4.5403417,45.83,164.98,102.51,-0.70,21.89,0.13,0.07,39.02,90.81,,,
36,43720.800,4054.349,4.054349,8,52.3882683,4.5403933,46.09,165.92,103.10,-0.60,21.92,0.13,-0.01,42.53,99.52,,,
36,43721.000,4063.738,4.063738,8,52.3883467,4.5404450,46.33,166.77,103.63,-0.70,21.78,0.12,0.06,46.03,108.23,,,
36,43721.200,4073.128,4.073128,8,52.3884250,4.5404967,46.54,167.55,104.11,-0.70,21.73,0.11,0.02,49.54,116.94,,,
36,43721.400,4082.731,4.082731,8,52.3885050,4.5405500,46.87,168.74,104.85,-0.70,21.76,0.17,-0.01,53.16,125.84,,,
36,43721.600,4092.164,4.092164,8,52.3885833,4.5406033,46.89,168.81,104.89,-0.70,21.64,0.01,0.05,56.78,134.55,,,
36,43721.800,4101.553,4.101553,8,52.3886617,4.5406550,47.17,169.81,105.51,-0.70,21.87,0.14,-0.10,60.29,143.26,,,
36,43722.000,4111.200,4.111200,8,52.3887417,4.5407100,47.56,171.20,106.38,-0.50,23.22,0.20,-0.57,64.02,152.15,,,
36,43722.200,4120.676,4.120676,8,52.3888200,4.5407650,47.24,170.07,105.68,-0.50,22.37,-0.16,0.36,67.75,160.86,,,
36,43722.400,4130.323,4.130323,8,52.3889000,4.5408200,47.54,171.16,106.36,-0.50,22.38,0.15,-0.00,71.48,169.76,,,
36,43722.600,4139.927,4.139927,8,52.3889800,4.5408733,48.01,172.83,107.39,-0.50,22.24,0.24,0.06,75.10,178.65,,,
36,43722.800,4149.745,4.149745,8,52.3890617,4.5409283,48.21,173.57,107.85,-0.50,22.21,0.11,0.01,78.83,187.73,,,
36,43723.000,4159.349,4.159349,8,52.3891417,4.5409817,48.39,174.22,108.25,-0.40,22.17,0.09,0.02,82.45,196.63,,,
36,43723.200,4169.167,4.169167,8,52.3892233,4.5410367,48.58,174.88,108.67,-0.40,22.11,0.09,0.03,86.19,205.71,,,
36,43723.400,4178.942,4.178942,8,52.3893050,4.5410900,48.72,175.38,108.98,-0.40,22.16,0.07,-0.02,89.81,214.79,,,
36,43723.600,4188.718,4.188718,8,52.3893867,4.5411433,49.07,176.64,109.76,-0.40,21.80,0.18,0.16,93.42,223.87,,,
36,43723.800,4198.624,4.198624,8,52.3894683,4.5412017,49.04,176.55,109.70,-0.40,22.15,-0.01,-0.15,97.38,232.95,,,
36,43724.000,4208.486,4.208486,8,52.3895500,4.5412583,48.74,175.48,109.04,-0.60,22.62,-0.15,-0.20,101.23,242.03,,,
36,43724.200,4218.392,4.218392,7,52.3896317,4.5413167,49.40,177.83,110.50,-0.70,21.87,0.33,0.33,105.19,251.12,,,
36,43724.400,4228.254,4.228254,7,52.3897133,4.5413733,49.52,178.25,110.76,-0.70,21.77,0.06,0.04,109.03,260.20,,,
36,43724.600,4238.286,4.238286,8,52.3897967,4.5414300,49.62,178.64,111.00,-0.80,21.86,0.06,-0.04,112.88,269.46,,,
36,43724.800,4248.234,4.248234,8,52.3898800,4.5414833,49.86,179.51,111.54,-0.90,21.66,0.12,0.09,116.50,278.73,,,
